url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1192357 function calls (1161402 primitive calls) in 3.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    514/1    0.014    0.000    3.151    3.151 {built-in method builtins.exec}
        1    0.000    0.000    3.151    3.151 financial_enhanced.py:1(<module>)
        1    0.000    0.000    2.310    2.310 financial_enhanced.py:171(execute_the_program)
        1    0.000    0.000    2.310    2.310 financial_enhanced.py:64(request_httpx)
       49    0.002    0.000    1.915    0.039 __init__.py:1(<module>)
        1    0.000    0.000    1.583    1.583 _client.py:1036(get)
        1    0.000    0.000    1.583    1.583 _client.py:771(request)
        1    0.000    0.000    1.582    1.582 _client.py:879(send)
      252    0.007    0.000    1.312    0.005 http11.py:209(_receive_event)
        1    0.000    0.000    1.304    1.304 _client.py:930(_send_handling_auth)
        1    0.000    0.000    1.304    1.304 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    1.304    1.304 _client.py:1001(_send_single_request)
        1    0.000    0.000    1.297    1.297 default.py:230(handle_request)
        1    0.000    0.000    1.297    1.297 connection_pool.py:199(handle_request)
        1    0.000    0.000    1.296    1.296 connection.py:69(handle_request)
      299    0.004    0.000    1.260    0.004 sync.py:124(read)
      299    0.001    0.000    1.249    0.004 ssl.py:1256(recv)
      299    0.001    0.000    1.248    0.004 ssl.py:1125(read)
      299    1.246    0.004    1.246    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.102    1.102 http11.py:65(handle_request)
        1    0.000    0.000    1.100    1.100 http11.py:170(_receive_response_headers)
    487/7    0.006    0.000    1.065    0.152 <frozen importlib._bootstrap>:1165(_find_and_load)
    485/7    0.003    0.000    1.064    0.152 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    448/7    0.003    0.000    1.056    0.151 <frozen importlib._bootstrap>:666(_load_unlocked)
    407/7    0.002    0.000    1.056    0.151 <frozen importlib._bootstrap_external>:934(exec_module)
  1012/14    0.001    0.000    1.041    0.074 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    86/47    0.000    0.000    0.569    0.012 {built-in method builtins.__import__}
      407    0.011    0.000    0.371    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.370    0.370 __init__.py:209(__init__)
        1    0.000    0.000    0.369    0.369 __init__.py:650(_feed)
        1    0.000    0.000    0.369    0.369 _htmlparser.py:449(feed)
        1    0.000    0.000    0.369    0.369 parser.py:103(feed)
        2    0.030    0.015    0.369    0.184 parser.py:133(goahead)
  279/183    0.001    0.000    0.365    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.359    0.359 requests_html.py:1(<module>)
        5    0.002    0.000    0.278    0.056 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.278    0.278 _models.py:876(read)
      251    0.002    0.000    0.276    0.001 _models.py:884(iter_bytes)
      407    0.003    0.000    0.271    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.271    0.271 _client.py:639(__init__)
        6    0.000    0.000    0.255    0.042 connection.py:1(<module>)
      251    0.002    0.000    0.252    0.001 _models.py:935(iter_raw)
      466    0.003    0.000    0.248    0.001 __init__.py:272(_compile)
      415    0.000    0.000    0.247    0.001 __init__.py:225(compile)
      294    0.002    0.000    0.241    0.001 _compiler.py:738(compile)
        1    0.000    0.000    0.233    0.233 _client.py:718(_init_transport)
        1    0.000    0.000    0.233    0.233 default.py:136(__init__)
        1    0.000    0.000    0.231    0.231 element.py:1(<module>)
     3470    0.044    0.000    0.229    0.000 parser.py:300(parse_starttag)
  476/438    0.007    0.000    0.224    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
        2    0.000    0.000    0.219    0.110 _api.py:1(<module>)
      251    0.000    0.000    0.216    0.001 _client.py:152(__iter__)
      251    0.001    0.000    0.216    0.001 default.py:125(__iter__)
      251    0.000    0.000    0.215    0.001 connection_pool.py:401(__iter__)
      251    0.000    0.000    0.215    0.001 http11.py:330(__iter__)
      251    0.002    0.000    0.214    0.001 http11.py:196(_receive_response_body)
      407    0.205    0.001    0.205    0.001 {built-in method io.open_code}
        1    0.000    0.000    0.193    0.193 connection.py:105(_connect)
      457    0.001    0.000    0.153    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      457    0.003    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      294    0.001    0.000    0.148    0.001 _parser.py:970(parse)
 1524/294    0.011    0.000    0.145    0.000 _parser.py:447(_parse_sub)
 5144/356    0.050    0.000    0.143    0.000 _parser.py:507(_parse)
      959    0.013    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     3470    0.015    0.000    0.128    0.000 _htmlparser.py:142(handle_starttag)
1237/1228    0.031    0.000    0.123    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.118    0.118 formatter.py:1(<module>)
        1    0.000    0.000    0.116    0.116 dammit.py:1(<module>)
        1    0.000    0.000    0.111    0.111 launcher.py:1(<module>)
     3470    0.016    0.000    0.106    0.000 __init__.py:987(handle_starttag)
        1    0.000    0.000    0.105    0.105 css.py:1(<module>)
        1    0.000    0.000    0.104    0.104 sync.py:188(connect_tcp)
        1    0.000    0.000    0.104    0.104 socket.py:809(create_connection)
        5    0.000    0.000    0.103    0.021 exceptions.py:1(<module>)
        1    0.000    0.000    0.103    0.103 browser.py:1(<module>)
        1    0.099    0.099    0.099    0.099 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.097    0.049 _synchronization.py:1(<module>)
        2    0.000    0.000    0.096    0.048 client.py:1(<module>)
        1    0.000    0.000    0.092    0.092 css_parser.py:1(<module>)
      294    0.001    0.000    0.090    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.089    0.089 sync.py:144(start_tls)
        1    0.000    0.000    0.089    0.089 ssl.py:511(wrap_socket)
        1    0.000    0.000    0.089    0.089 ssl.py:1018(_create)
        1    0.000    0.000    0.088    0.088 ssl.py:1339(do_handshake)
        1    0.088    0.088    0.088    0.088 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     1985    0.002    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2002    0.082    0.000    0.082    0.000 {built-in method nt.stat}
        1    0.007    0.007    0.081    0.081 dammit.py:128(_populate_class_variables)
        5    0.000    0.000    0.080    0.016 element.py:2723(find_all)
        5    0.000    0.000    0.080    0.016 element.py:1079(_find_all)
        5    0.000    0.000    0.079    0.016 filter.py:163(find_all)
       45    0.008    0.000    0.079    0.002 filter.py:129(filter)
4081/3153    0.002    0.000    0.077    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.075    0.025 element.py:2692(find)
        7    0.000    0.000    0.073    0.010 six.py:85(_import_module)
        4    0.000    0.000    0.073    0.018 six.py:117(_resolve)
 6163/294    0.031    0.000    0.072    0.000 _compiler.py:37(_compile)
     3276    0.011    0.000    0.070    0.000 parser.py:378(parse_endtag)
    23/17    0.000    0.000    0.069    0.004 <frozen importlib._bootstrap>:422(spec_from_loader)
       32    0.000    0.000    0.069    0.002 six.py:190(find_spec)
        4    0.000    0.000    0.069    0.017 six.py:215(is_package)
        1    0.000    0.000    0.069    0.069 six.py:120(__getattr__)
        1    0.000    0.000    0.064    0.064 connectionpool.py:1(<module>)
    11347    0.008    0.000    0.062    0.000 filter.py:721(match)
        3    0.000    0.000    0.058    0.019 parser.py:1(<module>)
     4785    0.037    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     3470    0.007    0.000    0.056    0.000 _htmlparser.py:204(handle_endtag)
      407    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     7186    0.013    0.000    0.053    0.000 __init__.py:826(endData)
      407    0.053    0.000    0.053    0.000 {method 'read' of '_io.BufferedReader' objects}
