url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1118989 function calls (1089904 primitive calls) in 3.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    350/1    0.006    0.000    3.070    3.070 {built-in method builtins.exec}
        1    0.000    0.000    3.070    3.070 financial_enhanced.py:1(<module>)
        1    0.000    0.000    2.194    2.194 financial_enhanced.py:171(execute_the_program)
        1    0.000    0.000    2.194    2.194 financial_enhanced.py:32(request)
        1    0.000    0.000    1.761    1.761 request.py:61(request)
        1    0.000    0.000    1.761    1.761 request.py:85(request_encode_url)
        1    0.000    0.000    1.761    1.761 poolmanager.py:353(urlopen)
        1    0.000    0.000    1.760    1.760 connectionpool.py:535(urlopen)
        1    0.000    0.000    1.512    1.512 connectionpool.py:379(_make_request)
       39    0.002    0.000    1.394    0.036 __init__.py:1(<module>)
      298    0.001    0.000    1.238    0.004 socket.py:692(readinto)
      298    0.001    0.000    1.237    0.004 ssl.py:1267(recv_into)
      298    0.001    0.000    1.236    0.004 ssl.py:1125(read)
      298    1.235    0.004    1.235    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.002    1.002 client.py:1334(getresponse)
        1    0.000    0.000    1.002    1.002 client.py:311(begin)
       51    0.000    0.000    1.000    0.020 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.917    0.917 client.py:278(_read_status)
    403/6    0.004    0.000    0.876    0.146 <frozen importlib._bootstrap>:1165(_find_and_load)
    401/6    0.003    0.000    0.876    0.146 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    373/6    0.002    0.000    0.872    0.145 <frozen importlib._bootstrap>:666(_load_unlocked)
    332/6    0.002    0.000    0.872    0.145 <frozen importlib._bootstrap_external>:934(exec_module)
   849/12    0.001    0.000    0.866    0.072 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.508    0.508 connectionpool.py:1053(_validate_conn)
        1    0.000    0.000    0.508    0.508 connection.py:361(connect)
    79/45    0.000    0.000    0.442    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.383    0.383 connection.py:161(_new_conn)
        1    0.000    0.000    0.383    0.383 connection.py:37(create_connection)
  257/167    0.001    0.000    0.363    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.362    0.362 __init__.py:209(__init__)
        1    0.000    0.000    0.359    0.359 __init__.py:650(_feed)
        1    0.000    0.000    0.359    0.359 _htmlparser.py:449(feed)
        1    0.000    0.000    0.359    0.359 parser.py:103(feed)
        2    0.028    0.014    0.359    0.180 parser.py:133(goahead)
        1    0.000    0.000    0.347    0.347 requests_html.py:1(<module>)
        1    0.000    0.000    0.307    0.307 socket.py:945(getaddrinfo)
        1    0.307    0.307    0.307    0.307 {built-in method _socket.getaddrinfo}
      372    0.019    0.000    0.257    0.001 {method 'read' of '_io.BufferedReader' objects}
      446    0.003    0.000    0.251    0.001 __init__.py:272(_compile)
      404    0.000    0.000    0.250    0.001 __init__.py:225(compile)
        1    0.000    0.000    0.247    0.247 response.py:633(from_httplib)
        1    0.000    0.000    0.247    0.247 response.py:201(__init__)
        1    0.000    0.000    0.247    0.247 response.py:535(read)
      283    0.002    0.000    0.244    0.001 _compiler.py:738(compile)
        1    0.000    0.000    0.239    0.239 response.py:487(_fp_read)
        1    0.000    0.000    0.239    0.239 client.py:450(read)
        1    0.000    0.000    0.239    0.239 client.py:578(_read_chunked)
       40    0.000    0.000    0.239    0.006 client.py:624(_safe_read)
      332    0.006    0.000    0.239    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.230    0.230 element.py:1(<module>)
  395/357    0.005    0.000    0.228    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
     3470    0.041    0.000    0.222    0.000 parser.py:300(parse_starttag)
      332    0.002    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      283    0.001    0.000    0.150    0.001 _parser.py:970(parse)
 1492/283    0.011    0.000    0.147    0.001 _parser.py:447(_parse_sub)
        5    0.000    0.000    0.145    0.029 exceptions.py:1(<module>)
 5111/345    0.050    0.000    0.145    0.000 _parser.py:507(_parse)
        2    0.000    0.000    0.140    0.070 client.py:1(<module>)
      332    0.135    0.000    0.135    0.000 {built-in method io.open_code}
     3470    0.014    0.000    0.128    0.000 _htmlparser.py:142(handle_starttag)
