         551452 function calls (523216 primitive calls) in 0.370 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    78524    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
69315/62413    0.009    0.000    0.010    0.000 {built-in method builtins.len}
    46412    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    33294    0.008    0.000    0.013    0.000 _parser.py:168(__getitem__)
    28860    0.005    0.000    0.005    0.000 _parser.py:240(__next)
    19242    0.006    0.000    0.009    0.000 _parser.py:261(get)
    15622    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    14938    0.003    0.000    0.005    0.000 _parser.py:256(match)
    13767    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
    10178    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8522    0.002    0.000    0.003    0.000 _parser.py:176(append)
     7805    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7398    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     6763    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     6608    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
 6032/508    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
 6022/263    0.019    0.000    0.045    0.000 _compiler.py:37(_compile)
 5038/293    0.028    0.000    0.082    0.000 _parser.py:512(_parse)
     5006    0.002    0.000    0.002    0.000 _parser.py:293(tell)
     4632    0.001    0.000    0.002    0.000 {built-in method builtins.max}
4530/4462    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4429    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     4400    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4059    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3884    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3752    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3574    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3009    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
2511/1484    0.001    0.000    0.036    0.000 {built-in method builtins.hasattr}
     2506    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2115    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1993    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1993    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1887    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1725    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1624    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1465    0.009    0.000    0.009    0.000 {built-in method posix.stat}
 1453/263    0.007    0.000    0.083    0.000 _parser.py:452(_parse_sub)
     1452    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1418    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     1312    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
     1300    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
     1250    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
     1230    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1203    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1114    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     1114    0.008    0.000    0.013    0.000 _compiler.py:243(_optimize_charset)
1103/1040    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
     1103    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     1086    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1086    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
