url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1098894 function calls (1070575 primitive calls) in 3.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    329/1    0.006    0.000    3.041    3.041 {built-in method builtins.exec}
        1    0.000    0.000    3.041    3.041 financial.py:1(<module>)
        1    0.000    0.000    2.212    2.212 financial.py:138(execute_the_program)
        1    0.000    0.000    2.212    2.212 financial.py:32(request)
        1    0.000    0.000    1.741    1.741 api.py:62(get)
        1    0.000    0.000    1.741    1.741 api.py:14(request)
        1    0.000    0.000    1.741    1.741 sessions.py:500(request)
        1    0.000    0.000    1.695    1.695 sessions.py:673(send)
        1    0.000    0.000    1.526    1.526 adapters.py:613(send)
        1    0.000    0.000    1.521    1.521 connectionpool.py:535(urlopen)
        1    0.000    0.000    1.519    1.519 connectionpool.py:379(_make_request)
       37    0.002    0.000    1.480    0.040 __init__.py:1(<module>)
      299    0.002    0.000    1.182    0.004 socket.py:692(readinto)
      299    0.002    0.000    1.178    0.004 ssl.py:1267(recv_into)
      299    0.002    0.000    1.175    0.004 ssl.py:1125(read)
      299    1.174    0.004    1.174    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.050    1.050 client.py:1334(getresponse)
        1    0.000    0.000    1.049    1.049 client.py:311(begin)
       51    0.001    0.000    1.046    0.021 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.982    0.982 client.py:278(_read_status)
    375/6    0.004    0.000    0.871    0.145 <frozen importlib._bootstrap>:1165(_find_and_load)
    374/6    0.003    0.000    0.870    0.145 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    352/6    0.002    0.000    0.867    0.144 <frozen importlib._bootstrap>:666(_load_unlocked)
    311/6    0.002    0.000    0.866    0.144 <frozen importlib._bootstrap_external>:934(exec_module)
   801/12    0.001    0.000    0.826    0.069 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.468    0.468 connectionpool.py:1053(_validate_conn)
        1    0.000    0.000    0.468    0.468 connection.py:361(connect)
    77/43    0.000    0.000    0.402    0.009 {built-in method builtins.__import__}
        1    0.000    0.000    0.400    0.400 connection.py:161(_new_conn)
        1    0.000    0.000    0.400    0.400 connection.py:37(create_connection)
        1    0.000    0.000    0.390    0.390 __init__.py:209(__init__)
        1    0.000    0.000    0.389    0.389 __init__.py:650(_feed)
        1    0.000    0.000    0.389    0.389 _htmlparser.py:449(feed)
        1    0.000    0.000    0.389    0.389 parser.py:103(feed)
        2    0.031    0.015    0.389    0.195 parser.py:133(goahead)
  255/163    0.001    0.000    0.340    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.335    0.335 socket.py:945(getaddrinfo)
        1    0.335    0.335    0.335    0.335 {built-in method _socket.getaddrinfo}
      311    0.005    0.000    0.292    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.280    0.280 requests_html.py:1(<module>)
      433    0.003    0.000    0.248    0.001 __init__.py:272(_compile)
      391    0.000    0.000    0.248    0.001 __init__.py:225(compile)
     3470    0.045    0.000    0.247    0.000 parser.py:300(parse_starttag)
      271    0.002    0.000    0.242    0.001 _compiler.py:738(compile)
        1    0.000    0.000    0.221    0.221 element.py:1(<module>)
      311    0.002    0.000    0.216    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      368    0.056    0.000    0.193    0.001 {method 'read' of '_io.BufferedReader' objects}
  370/332    0.005    0.000    0.180    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
        3    0.000    0.000    0.167    0.056 models.py:890(content)
       17    0.002    0.000    0.167    0.010 {method 'join' of 'bytes' objects}
       38    0.000    0.000    0.165    0.004 models.py:816(generate)
       38    0.000    0.000    0.165    0.004 response.py:607(stream)
       38    0.001    0.000    0.164    0.004 response.py:789(read_chunked)
      271    0.001    0.000    0.152    0.001 _parser.py:970(parse)
      311    0.152    0.000    0.152    0.000 {built-in method io.open_code}
 1463/271    0.012    0.000    0.150    0.001 _parser.py:447(_parse_sub)
 5048/301    0.052    0.000    0.148    0.000 _parser.py:507(_parse)
